name,C2A1,C3A1,C4A1,C5A1,C6A1,C9A1,C10A1,C1A1,C7A1,C8A1,C11A1,C12A1,C13A1,C14A1,GeneName,Biotype
A1CF,0,0,0,0,0.012795393,0,0.01355312,0.01279892,0,0,0,0,0,0,A1CF,protein_coding
A2M,0,0.022718742,0.01261459,0.08525519,0.127260251,0,0.012254222,0.185156838,0.025783482,0.034450591,0.034273938,0,0.021662947,0.048978896,A2M,protein_coding
A2ML1,1.231685536,1.70072499,1.751977296,0.749788949,2.307604343,1.423843189,1.858842966,1.510330117,1.492057903,1.860705126,1.361646426,1.450755223,1.109576138,2.008165333,A2ML1,protein_coding
A2ML2,0,0.022499457,0,0,0.011457447,0,0.024271886,0.02292121,0,0,0,0,0,0.024253073,A2ML2,protein_coding
A2ML3,0.035934343,0,0,0.028875056,0.018285586,0.008924723,0.029052653,0.06401719,0,0.027225475,0,0.009619474,0.017119707,0.009676711,A2ML3,protein_coding
A2ML4,1.78090227,1.171385082,1.626030014,0.386442462,1.227427762,1.030186523,0.789789185,0.390131274,0.958704837,1.070324212,0.838275058,1.460393822,0.816231227,1.153412563,A2ML4,protein_coding
A4GALT,4.786391575,4.425126803,2.739353058,5.501648972,5.954773912,4.324456419,6.337878773,2.800762046,7.468998002,9.594217081,4.336924035,4.983943132,3.959129574,4.810618601,A4GALT,protein_coding
A4GNT,0.026864542,0,0.029811351,0,0.054681272,0.053377039,0,0.164089029,0.091398981,0,0.026999223,0.028766105,0.076792236,0.028937267,A4GNT,protein_coding
AAAS,19.04641927,10.86109799,12.6301847,14.00704631,7.826632555,10.84873652,16.4973308,8.872628372,7.878335509,14.08730514,15.76695299,11.47367184,10.60061029,10.40983745,AAAS,protein_coding
AACS,11.3208811,17.58719319,29.91671713,21.50817113,24.0745966,15.99385929,16.88665242,20.93204479,21.0494884,20.83796335,26.98881208,28.82549052,19.79271584,21.69458167,AACS,protein_coding
AADAC,26.87851467,35.96857607,29.98841765,35.09714226,65.95939598,35.00239635,57.47871236,22.20914422,45.48194192,36.13544698,40.74500903,46.66130394,59.31017142,42.35482823,AADAC,protein_coding
AADACL3C,1.172289533,0.958446908,0.748991266,0.228362117,0.325381323,0.776405609,0.344649999,0.43396134,0.56401368,0.789492709,1.677994872,0.608614852,0.880057216,0.535706671,AADACL3C,protein_coding
AADACL4A,0,0,0,0,0,0,0.038687208,0,0,0,0,0,0,0.038657221,AADACL4A,protein_coding
AADAT,9.305867828,4.586880323,6.54113387,8.519107418,8.730482379,8.123545298,8.814859522,4.11109672,11.17934027,9.45140335,12.32717761,9.319960277,7.887030552,12.401486,AADAT,protein_coding
AAED1,21.14379185,24.03770682,20.76191556,18.71595945,20.01269277,24.27695121,13.12000964,10.98086205,25.1693938,23.5289998,23.79209301,27.54669686,19.87362993,25.0886355,AAED1,protein_coding
AAGAB,15.10865241,13.80649143,13.8982971,13.79627398,13.67289923,12.20902124,13.59622504,13.24319961,12.70502569,16.40476365,14.38754831,14.52726781,13.43068617,13.77547496,AAGAB,protein_coding
AAK1,9.464227111,7.454772558,8.884540588,8.196612866,9.38879624,7.018964399,9.51903434,8.075994583,6.840218457,9.703543111,8.668805821,8.405955959,9.29193636,7.305750215,AAK1,protein_coding
AAMDC,2.692273795,3.895435308,2.261900041,2.566025288,3.19809124,3.417118355,3.781158118,2.368968973,2.687229878,2.599603338,2.995979948,1.946145702,1.893618258,3.403149071,AAMDC,protein_coding
AAMP,36.81559053,28.81263223,29.8567182,30.38792218,29.41309322,30.62713357,48.75053001,31.49825921,26.19006024,24.48436289,29.60914096,33.15537261,28.45636718,27.96695922,AAMP,protein_coding
AANAT,0.038905981,0.038877624,0.043173631,0.250103333,0.079190945,0.038651059,0.125820801,0.118819158,0.22061093,0.039302562,0.117303088,0.249959262,0.185354436,0.125723277,AANAT,protein_coding
AAR2,12.73803223,13.68193778,14.21670877,14.60663558,15.17418903,12.97530756,12.79811373,12.93747008,13.68028327,14.0390297,12.49216905,15.77676466,15.61897049,12.44043087,AAR2,protein_coding
AARS1,48.20991365,34.34395311,48.30171185,52.44819984,45.54713647,36.01493791,51.0757116,35.86726191,29.62951864,42.80131495,36.29528914,43.24067641,45.87011991,33.35402325,AARS1,protein_coding
AARS2,9.131358494,7.396161895,7.050641237,5.862877347,5.958471634,6.642539385,8.176034527,6.383417459,5.922885696,6.855319612,6.385548912,6.714381529,5.35668813,6.754333036,AARS2,protein_coding
AARSD1,70.21652264,65.81556234,56.62758744,53.16685278,47.47021161,59.44433542,55.69569642,48.74451717,55.40345312,53.00469983,53.47325348,63.74912972,53.568341,46.8159296,AARSD1,protein_coding
AASDH,1.072641373,0.902212738,0.967654659,0.677962165,0.549752164,0.935286381,0.607263851,0.934836268,1.120186586,0.70939093,0.736775495,0.760202314,0.595581742,1.122151731,AASDH,protein_coding
